,Y,Y1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Population2015,percentage_pop_perZiP
11430,-0.02,0.02,0.02,0,0.001426246,0.000178281,0,0,0,0,0,0,0.001604527,502,0
10162,0.03,0,0.02,0,8.30E-05,0,0,0,0,8.30E-05,0.000165969,0,0.000331938,701,0
11005,0.01,0.01,-0.01,0,0.000197813,0.000197813,0,0,0,0,0,0,0.000395627,1671,0
10004,0.02,0.3,0.02,0.000451502,0.028218906,0.000225751,0,0,0,0.027767403,0.001580259,0.003160517,0.061404338,1907,0
10006,0.01,0.37,0.02,0.001445779,0.019758975,0.000963852,0,0,0,0.028433647,0.000963852,0.004337336,0.055903442,4071,0
11697,-0.06,0.02,0.06,0.000981373,0.004416177,0.000490686,0,0,0,0.000981373,0,0,0.006869609,4145,0
11109,0.2,0.03,0.04,0,0.027820319,0.002060764,0,0,0,0.012879777,0,0,0.042760861,4352,0
10464,-0.01,0.08,-0.02,0.00551889,0.166670475,0.029250116,0,0.004967001,0,0.062363456,0.000551889,0,0.269321826,4662,0
10282,-0.01,0.09,0.01,0.000580774,0.007550059,0.000580774,0.000580774,0,0,0.009873154,0,0,0.019165535,4906,0
10018,0.01,4.34,0.04,0.006849485,0.220553402,0.002054845,0.000684948,0.001369897,0,0.213018969,0.023973196,0.028082887,0.496587628,5786,0
10069,0.06,0.07,0.01,0,0.04337336,0,0.000735142,0,0,0.009556842,0.00441085,0,0.058076195,6210,0
11363,0.01,0.13,0.01,0.007421261,0.129129949,0.018553154,0,0.000742126,0,0.006679135,0,0,0.162525625,6269,0
10007,0.03,1.08,0.01,0.00322468,0.083035498,0.00161234,0.00322468,0.00161234,0,0.125762502,0.009674039,0.037889985,0.266036063,6810,0
10280,-0.02,0.16,0.01,0,0.05002586,0.001961798,0,0,0,0.015694388,0,0.003923597,0.071605643,8286,0
10005,0,1.16,0.02,0.003032193,0.073783367,0.002021462,0.005053655,0,0,0.200124749,0.015160966,0.018193159,0.317369552,8538,0
10044,0.02,0.12,0.01,0.001200021,0.001200021,0,0,0,0,0.006000106,0.002400042,0,0.01080019,10137,0
11693,-0.01,0.17,0,0.02823832,0.211115058,0.059166004,0.002689364,0,0,0.192289512,0.001344682,0.001344682,0.496187621,11359,0
11004,0.01,0.37,0,0.004682888,0.171705899,0.067121397,0.001560963,0,0,0.113950279,0,0.003121925,0.362143351,13186,0
10307,0.03,0.46,0,0.024925565,0.27418122,0.094717149,0.003323409,0.004985113,0,0.244270541,0,0,0.646402997,14037,0
11239,0,0.1,-0.02,0.0136251,0.119219623,0.022140787,0,0.001703137,0,0.018734512,0,0,0.175423159,14387,0
10470,0.01,0.51,0,0.030682045,0.851877944,0.176872963,0.009024131,0.007219305,0.001804826,0.198530877,0.001804826,0.005414478,1.283231394,15246,0
10017,-0.01,8.53,0.02,0.071017056,1.022271834,0.00560661,0.009344349,0.00373774,0,0.805482926,0.069148186,0.029901918,2.01651062,15787,0
11366,0.02,0.91,0.02,0.035661831,0.600307481,0.202083706,0,0,0.007924851,0.267463729,0,0,1.113441598,16736,0
11362,0.03,0.98,0.02,0.023052552,0.576313805,0.152985119,0.004191373,0.002095687,0,0.108975701,0.002095687,0,0.869709924,17703,0
11360,-0.01,0.79,0,0.013582009,0.529698363,0.144874766,0,0,0,0.049800701,0,0.002263668,0.740219508,19122,0
11415,0.01,0.97,0.01,0.057411489,1.196455433,0.039039813,0.00229646,0,0,0.52588924,0.004592919,0.009185838,1.834871192,19399,0
